Date,Name of State / UT,Total Confirmed cases (Indian National),Total Confirmed cases ( Foreign National ),Cured/Discharged/Migrated,Latitude,Longitude,Death
2020-03-09,Union Territory of Jammu and Kashmir,1,0,0,33.7782,76.5762,0
2020-03-09,Union Territory of Ladakh,2,0,0,34.2996,78.2932,0
2020-03-09,Uttar Pradesh,7,0,0,26.8467,80.9462,0
2020-03-10,Delhi,4,0,0,28.7041,77.1025,0
2020-03-10,Haryana,0,14,0,29.0588,76.0856,0
2020-03-10,Karnataka,4,0,0,15.3173,75.7139,0
2020-03-10,Kerala,15,0,3,10.8505,76.2711,0
2020-03-10,Maharashtra,5,0,0,19.7515,75.7139,0
2020-03-10,Punjab,1,0,0,31.1471,75.3412,0
2020-03-10,Rajasthan,1,0,0,27.0238,74.2179,0
2020-03-10,Tamil Nadu,1,0,0,11.1271,78.6569,0
2020-03-10,Telengana,1,0,0,18.1124,79.0193,0
2020-03-10,Union Territory of Jammu and Kashmir,1,0,0,33.7782,76.5762,0
2020-03-10,Union Territory of Ladakh,2,0,0,34.2996,78.2932,0
2020-03-10,Uttar Pradesh,7,0,0,26.8467,80.9462,0
2020-03-11,Delhi,5,0,0,28.7041,77.1025,0
2020-03-11,Haryana,0,14,0,29.0588,76.0856,0
2020-03-11,Karnataka,4,0,0,15.3173,75.7139,0
2020-03-11,Kerala,17,0,3,10.8505,76.2711,0
2020-03-11,Maharashtra,10,0,0,19.7515,75.7139,0
2020-03-11,Punjab,1,0,0,31.1471,75.3412,0
2020-03-11,Rajasthan,1,2,0,27.0238,74.2179,0
2020-03-11,Tamil Nadu,1,0,0,11.1271,78.6569,0
2020-03-11,Telengana,1,0,0,18.1124,79.0193,0
2020-03-11,Union Territory of Jammu and Kashmir,1,0,0,33.7782,76.5762,0
2020-03-11,Union Territory of Ladakh,2,0,0,34.2996,78.2932,0
2020-03-11,Uttar Pradesh,9,0,0,26.8467,80.9462,0
2020-03-12,Andhra Pradesh,1,0,0,15.9129,79.74,0
2020-03-12,Delhi,6,0,0,28.7041,77.1025,0
2020-03-12,Haryana,0,14,0,29.0588,76.0856,0
2020-03-12,Karnataka,4,0,0,15.3173,75.7139,1
2020-03-12,Kerala,17,0,3,10.8505,76.2711,0
2020-03-12,Maharashtra,11,0,0,19.7515,75.7139,0
2020-03-12,Punjab,1,0,0,31.1471,75.3412,0
2020-03-12,Rajasthan,1,2,0,27.0238,74.2179,0
2020-03-12,Tamil Nadu,1,0,0,11.1271,78.6569,0
2020-03-12,Telengana,1,0,0,18.1124,79.0193,0
2020-03-12,Union Territory of Jammu and Kashmir,1,0,0,33.7782,76.5762,0
2020-03-12,Union Territory of Ladakh,3,0,0,34.2996,78.2932,0
2020-03-12,Uttar Pradesh,10,1,0,26.8467,80.9462,0
2020-03-13,Andhra Pradesh,1,0,0,15.9129,79.74,0
2020-03-13,Delhi,6,0,0,28.7041,77.1025,0
2020-03-13,Haryana,0,14,0,29.0588,76.0856,0
2020-03-13,Karnataka,5,0,0,15.3173,75.7139,1
2020-03-13,Kerala,17,0,3,10.8505,76.2711,0
2020-03-13,Maharashtra,11,0,0,19.7515,75.7139,0
2020-03-13,Punjab,1,0,0,31.1471,75.3412,0
2020-03-13,Rajasthan,1,2,0,27.0238,74.2179,0
2020-03-13,Tamil Nadu,1,0,0,11.1271,78.6569,0
2020-03-13,Telengana,1,0,0,18.1124,79.0193,0
2020-03-13,Union Territory of Jammu and Kashmir,1,0,0,33.7782,76.5762,0
2020-03-13,Union Territory of Ladakh,3,0,0,34.2996,78.2932,0
2020-03-13,Uttar Pradesh,10,1,0,26.8467,80.9462,0
2020-03-14,Andhra Pradesh,1,0,0,15.9129,79.74,0
2020-03-14,Delhi,7,0,1,28.7041,77.1025,1
2020-03-14,Haryana,0,14,0,29.0588,76.0856,0
2020-03-14,Karnataka,6,0,0,15.3173,75.7139,1
2020-03-14,Kerala,19,0,3,10.8505,76.2711,0
2020-03-14,Maharashtra,14,0,0,19.7515,75.7139,0
2020-03-14,Punjab,1,0,0,31.1471,75.3412,0
2020-03-14,Rajasthan,1,2,1,27.0238,74.2179,0
2020-03-14,Tamil Nadu,1,0,0,11.1271,78.6569,0
2020-03-14,Telengana,1,0,0,18.1124,79.0193,0
2020-03-14,Union Territory of Jammu and Kashmir,2,0,0,33.7782,76.5762,0
2020-03-14,Union Territory of Ladakh,3,0,0,34.2996,78.2932,0
2020-03-14,Uttar Pradesh,11,1,5,26.8467,80.9462,0
2020-03-15,Andhra Pradesh,1,0,0,15.9129,79.74,0
2020-03-15,Delhi,7,0,2,28.7041,77.1025,1
2020-03-15,Haryana,0,14,0,29.0588,76.0856,0
2020-03-15,Karnataka,6,0,0,15.3173,75.7139,1
2020-03-15,Kerala,23,0,3,10.8505,76.2711,0
2020-03-15,Maharashtra,32,0,0,19.7515,75.7139,0
2020-03-15,Punjab,1,0,0,31.1471,75.3412,0
2020-03-15,Rajasthan,2,2,3,27.0238,74.2179,0
2020-03-15,Tamil Nadu,1,0,0,11.1271,78.6569,0
2020-03-15,Telengana,3,0,1,18.1124,79.0193,0
2020-03-15,Union Territory of Jammu and Kashmir,2,0,0,33.7782,76.5762,0
2020-03-15,Union Territory of Ladakh,3,0,0,34.2996,78.2932,0
2020-03-15,Uttar Pradesh,12,1,4,26.8467,80.9462,0
2020-03-15,Uttarakhand,1,0,0,30.0668,79.0193,0
2020-03-16,Andhra Pradesh,1,0,0,15.9129,79.74,0
2020-03-16,Delhi,7,0,2,28.7041,77.1025,1
2020-03-16,Haryana,0,14,0,29.0588,76.0856,0
2020-03-16,Karnataka,6,0,0,15.3173,75.7139,1
2020-03-16,Kerala,23,0,3,10.8505,76.2711,0
2020-03-16,Maharashtra,32,0,0,19.7515,75.7139,0
2020-03-16,Odisha,1,0,0,20.9517,85.0985,0
2020-03-16,Punjab,1,0,0,31.1471,75.3412,0
2020-03-16,Rajasthan,2,2,3,27.0238,74.2179,0
2020-03-16,Tamil Nadu,1,0,0,11.1271,78.6569,0
2020-03-16,Telengana,3,0,1,18.1124,79.0193,0
2020-03-16,Union Territory of Jammu and Kashmir,3,0,0,33.7782,76.5762,0
2020-03-16,Union Territory of Ladakh,4,0,0,34.2996,78.2932,0
2020-03-16,Uttar Pradesh,12,1,4,26.8467,80.9462,0
2020-03-16,Uttarakhand,1,0,0,30.0668,79.0193,0
2020-03-17,Andhra Pradesh,1,0,0,15.9129,79.74,0
2020-03-17,Delhi,8,0,2,28.7041,77.1025,1
2020-03-17,Haryana,1,14,0,29.0588,76.0856,0
2020-03-17,Karnataka,11,0,0,15.3173,75.7139,1
2020-03-17,Kerala,24,2,3,10.8505,76.2711,0
2020-03-17,Maharashtra,36,3,0,19.7515,75.7139,1
2020-03-17,Odisha,1,0,0,20.9517,85.0985,0
2020-03-17,Punjab,1,0,0,31.1471,75.3412,0
2020-03-17,Rajasthan,2,2,3,27.0238,74.2179,0
2020-03-17,Tamil Nadu,1,0,0,11.1271,78.6569,0
2020-03-17,Telengana,3,2,1,18.1124,79.0193,0
2020-03-17,Union Territory of Jammu and Kashmir,3,0,0,33.7782,76.5762,0
2020-03-17,Union Territory of Ladakh,6,0,0,34.2996,78.2932,0
2020-03-17,Uttar Pradesh,14,1,5,26.8467,80.9462,0
2020-03-17,Uttarakhand,1,0,0,30.0668,79.0193,0
2020-03-18,Andhra Pradesh,1,0,0,15.9129,79.74,0
2020-03-18,Delhi,9,1,2,28.7041,77.1025,1
2020-03-18,Haryana,3,14,0,29.0588,76.0856,0
2020-03-18,Karnataka,11,0,0,15.3173,75.7139,1
2020-03-18,Kerala,25,2,3,10.8505,76.2711,0
2020-03-18,Maharashtra,39,3,0,19.7515,75.7139,1
2020-03-18,Odisha,1,0,0,20.9517,85.0985,0
2020-03-18,Puducherry,1,0,0,11.9416,79.8083,0
2020-03-18,Punjab,1,0,0,31.1471,75.3412,0
2020-03-18,Rajasthan,2,2,3,27.0238,74.2179,0
2020-03-18,Tamil Nadu,1,0,0,11.1271,78.6569,0
2020-03-18,Telengana,4,2,1,18.1124,79.0193,0
2020-03-18,Union Territory of Jammu and Kashmir,3,0,0,33.7782,76.5762,0
2020-03-18,Union Territory of Ladakh,8,0,0,34.2996,78.2932,0
2020-03-18,Uttar Pradesh,15,1,5,26.8467,80.9462,0
2020-03-18,Uttarakhand,1,0,0,30.0668,79.0193,0
2020-03-18,West Bengal,1,0,0,22.9868,87.855,0
2020-03-19,Andhra Pradesh,2,0,0,15.9129,79.74,0
2020-03-19,Chhattisgarh,1,0,0,21.2787,81.8661,0
2020-03-19,Delhi,11,1,3,28.7041,77.1025,1
2020-03-19,Haryana,3,14,0,29.0588,76.0856,0
2020-03-19,Karnataka,14,0,0,15.3173,75.7139,1
2020-03-19,Kerala,25,2,3,10.8505,76.2711,0
2020-03-19,Maharashtra,44,3,0,19.7515,75.7139,1
2020-03-19,Odisha,1,0,0,20.9517,85.0985,0
2020-03-19,Puducherry,1,0,0,11.9416,79.8083,0
2020-03-19,Punjab,2,0,0,31.1471,75.3412,1
2020-03-19,Rajasthan,5,2,3,27.0238,74.2179,0
2020-03-19,Tamil Nadu,2,0,1,11.1271,78.6569,0
2020-03-19,Telengana,4,2,1,18.1124,79.0193,0
2020-03-19,Union Territory of Chandigarh,1,0,0,30.7333,76.7794,0
2020-03-19,Union Territory of Jammu and Kashmir,4,0,0,33.7782,76.5762,0
2020-03-19,Union Territory of Ladakh,8,0,0,34.2996,78.2932,0
2020-03-19,Uttar Pradesh,18,1,9,26.8467,80.9462,0
2020-03-19,Uttarakhand,1,0,0,30.0668,79.0193,0
2020-03-19,West Bengal,1,0,0,22.9868,87.855,0
2020-03-20,Andhra Pradesh,2,0,0,15.9129,79.74,0
2020-03-20,Chhattisgarh,1,0,0,21.2787,81.8661,0
2020-03-20,Delhi,16,1,3,28.7041,77.1025,1
2020-03-20,Gujarat,2,0,0,22.2587,71.1924,0
2020-03-20,Haryana,3,14,0,29.0588,76.0856,0
2020-03-20,Karnataka,15,0,0,15.3173,75.7139,1
2020-03-20,Kerala,26,2,3,10.8505,76.2711,0
2020-03-20,Maharashtra,44,3,0,19.7515,75.7139,1
2020-03-20,Odisha,1,0,0,20.9517,85.0985,0
2020-03-20,Puducherry,1,0,0,11.9416,79.8083,0
2020-03-20,Punjab,2,0,0,31.1471,75.3412,1
2020-03-20,Rajasthan,5,2,3,27.0238,74.2179,0
2020-03-20,Tamil Nadu,3,0,1,11.1271,78.6569,0
2020-03-20,Telengana,7,9,1,18.1124,79.0193,0
2020-03-20,Union Territory of Chandigarh,1,0,0,30.7333,76.7794,0
2020-03-20,Union Territory of Jammu and Kashmir,4,0,0,33.7782,76.5762,0
2020-03-20,Union Territory of Ladakh,10,0,0,34.2996,78.2932,0
2020-03-20,Uttar Pradesh,18,1,9,26.8467,80.9462,0
2020-03-20,Uttarakhand,1,0,0,30.0668,79.0193,0
2020-03-20,West Bengal,1,0,0,22.9868,87.855,0
2020-03-21,Andhra Pradesh,3,0,0,15.9129,79.74,0
2020-03-21,Chandigarh,1,0,0,30.7333,76.7794,0
2020-03-21,Chhattisgarh,1,0,0,21.2787,81.8661,0
2020-03-21,Delhi,25,1,5,28.7041,77.1025,1
2020-03-21,Gujarat,7,0,0,22.2587,71.1924,0
2020-03-21,Haryana,3,14,0,29.0588,76.0856,0
2020-03-21,Himachal Pradesh,2,0,0,31.1048,77.1734,0
2020-03-21,Jammu and Kashmir,4,0,0,33.7782,76.5762,0
2020-03-21,Karnataka,15,0,1,15.3173,75.7139,1
2020-03-21,Kerala,33,7,3,10.8505,76.2711,0
2020-03-21,Ladakh,13,0,0,34.2996,78.2932,0
2020-03-21,Madhya Pradesh,4,0,0,22.9734,78.6569,0
2020-03-21,Maharashtra,60,3,0,19.7515,75.7139,1
2020-03-21,Odisha,2,0,0,20.9517,85.0985,0
2020-03-21,Puducherry,1,0,0,11.9416,79.8083,0
2020-03-21,Punjab,13,0,0,31.1471,75.3412,1
2020-03-21,Rajasthan,15,2,3,27.0238,74.2179,0
2020-03-21,Tamil Nadu,3,0,1,11.1271,78.6569,0
2020-03-21,Telengana,10,11,1,18.1124,79.0193,0
2020-03-21,Uttar Pradesh,23,1,9,26.8467,80.9462,0
2020-03-21,Uttarakhand,3,0,0,30.0668,79.0193,0
2020-03-21,West Bengal,3,0,0,22.9868,87.855,0
2020-03-22,Andhra Pradesh,5,0,0,15.9129,79.74,0
2020-03-22,Bihar,2,0,0,25.0961,85.3131,1
2020-03-22,Chandigarh,5,0,0,30.7333,76.7794,0
2020-03-22,Chhattisgarh,1,0,0,21.2787,81.8661,0
2020-03-22,Delhi,28,1,5,28.7041,77.1025,1
2020-03-22,Gujarat,18,0,0,22.2587,71.1924,1
2020-03-22,Haryana,7,14,0,29.0588,76.0856,0
2020-03-22,Himachal Pradesh,2,0,0,31.1048,77.1734,0
2020-03-22,Jammu and Kashmir,4,0,0,33.7782,76.5762,0
2020-03-22,Karnataka,26,0,2,15.3173,75.7139,1
2020-03-22,Kerala,45,7,3,10.8505,76.2711,0
2020-03-22,Ladakh,13,0,0,34.2996,78.2932,0
2020-03-22,Madhya Pradesh,4,0,0,22.9734,78.6569,0
2020-03-22,Maharashtra,64,3,0,19.7515,75.7139,2
2020-03-22,Odisha,2,0,0,20.9517,85.0985,0
2020-03-22,Puducherry,1,0,0,11.9416,79.8083,0
2020-03-22,Punjab,21,0,0,31.1471,75.3412,1
2020-03-22,Rajasthan,22,2,3,27.0238,74.2179,0
2020-03-22,Tamil Nadu,5,2,1,11.1271,78.6569,0
2020-03-22,Telengana,11,11,1,18.1124,79.0193,0
2020-03-22,Uttar Pradesh,26,1,9,26.8467,80.9462,0
2020-03-22,Uttarakhand,3,0,0,30.0668,79.0193,0
2020-03-22,West Bengal,4,0,0,22.9868,87.855,0
2020-03-23,Andhra Pradesh,7,0,0,15.9129,79.74,0
2020-03-23,Bihar,2,0,0,25.0961,85.3131,1
2020-03-23,Chandigarh,6,0,0,30.7333,76.7794,0
2020-03-23,Chhattisgarh,1,0,0,21.2787,81.8661,0
2020-03-23,Delhi,28,1,5,28.7041,77.1025,1
2020-03-23,Gujarat,29,0,0,22.2587,71.1924,1
2020-03-23,Haryana,12,14,11,29.0588,76.0856,0
2020-03-23,Himachal Pradesh,2,0,0,31.1048,77.1734,0
2020-03-23,Jammu and Kashmir,4,0,0,33.7782,76.5762,0
2020-03-23,Karnataka,33,0,2,15.3173,75.7139,1
2020-03-23,Kerala,60,7,3,10.8505,76.2711,0
2020-03-23,Ladakh,13,0,0,34.2996,78.2932,0
2020-03-23,Madhya Pradesh,6,0,0,22.9734,78.6569,0
2020-03-23,Maharashtra,71,3,0,19.7515,75.7139,2
2020-03-23,Odisha,2,0,0,20.9517,85.0985,0
2020-03-23,Puducherry,1,0,0,11.9416,79.8083,0
2020-03-23,Punjab,21,0,0,31.1471,75.3412,1
2020-03-23,Rajasthan,26,2,3,27.0238,74.2179,0
2020-03-23,Tamil Nadu,7,2,1,11.1271,78.6569,0
2020-03-23,Telengana,22,10,1,18.1124,79.0193,0
2020-03-23,Uttar Pradesh,30,1,9,26.8467,80.9462,0
2020-03-23,Uttarakhand,3,0,0,30.0668,79.0193,0
2020-03-23,West Bengal,7,0,0,22.9868,87.855,1
2020-03-24,Andhra Pradesh,8,0,0,15.9129,79.74,0
2020-03-24,Bihar,3,0,0,25.0961,85.3131,1
2020-03-24,Chandigarh,7,0,0,30.7333,76.7794,0
2020-03-24,Chhattisgarh,1,0,0,21.2787,81.8661,0
2020-03-24,Delhi,29,1,6,28.7041,77.1025,2
2020-03-24,Gujarat,32,1,0,22.2587,71.1924,1
2020-03-24,Haryana,14,14,11,29.0588,76.0856,0
2020-03-24,Himachal Pradesh,3,0,0,31.1048,77.1734,1
2020-03-24,Jammu and Kashmir,4,0,0,33.7782,76.5762,0
2020-03-24,Karnataka,37,0,3,15.3173,75.7139,1
2020-03-24,Kerala,87,8,4,10.8505,76.2711,0
2020-03-24,Ladakh,13,0,0,34.2996,78.2932,0
2020-03-24,Madhya Pradesh,7,0,0,22.9734,78.6569,0
2020-03-24,Maharashtra,86,3,0,19.7515,75.7139,2
2020-03-24,Manipur,1,0,0,24.6637,93.9063,0
2020-03-24,Odisha,2,0,0,20.9517,85.0985,0
2020-03-24,Puducherry,1,0,0,11.9416,79.8083,0
2020-03-24,Punjab,29,0,0,31.1471,75.3412,1
2020-03-24,Rajasthan,30,2,3,27.0238,74.2179,0
2020-03-24,Tamil Nadu,13,2,1,11.1271,78.6569,0
2020-03-24,Telengana,25,10,1,18.1124,79.0193,0
2020-03-24,Uttar Pradesh,32,1,11,26.8467,80.9462,0
2020-03-24,Uttarakhand,3,1,0,30.0668,79.0193,0
2020-03-24,West Bengal,9,0,0,22.9868,87.855,1
2020-03-25,Andhra Pradesh,9,0,1,15.9129,79.74,0
2020-03-25,Bihar,4,0,0,25.0961,85.3131,1
2020-03-25,Chandigarh,7,0,0,30.7333,76.7794,0
2020-03-25,Chhattisgarh,1,0,0,21.2787,81.8661,0
2020-03-25,Delhi,30,1,6,28.7041,77.1025,1
2020-03-25,Gujarat,37,1,0,22.2587,71.1924,1
2020-03-25,Haryana,14,14,11,29.0588,76.0856,0
2020-03-25,Himachal Pradesh,3,0,0,31.1048,77.1734,1
2020-03-25,Jammu and Kashmir,7,0,1,33.7782,76.5762,0
2020-03-25,Karnataka,41,0,3,15.3173,75.7139,1
2020-03-25,Kerala,101,8,4,10.8505,76.2711,0
2020-03-25,Ladakh,13,0,0,34.2996,78.2932,0
2020-03-25,Madhya Pradesh,14,0,0,22.9734,78.6569,0
2020-03-25,Maharashtra,125,3,1,19.7515,75.7139,3
2020-03-25,Manipur,1,0,0,24.6637,93.9063,0
2020-03-25,Mizoram,1,0,0,23.1645,92.9376,0
2020-03-25,Odisha,2,0,0,20.9517,85.0985,0
2020-03-25,Puducherry,1,0,0,11.9416,79.8083,0
2020-03-25,Punjab,29,0,0,31.1471,75.3412,1
2020-03-25,Rajasthan,34,2,3,27.0238,74.2179,0
2020-03-25,Tamil Nadu,16,2,1,11.1271,78.6569,0
2020-03-25,Telengana,25,10,1,18.1124,79.0193,0
2020-03-25,Uttar Pradesh,36,1,11,26.8467,80.9462,0
2020-03-25,Uttarakhand,3,1,0,30.0668,79.0193,0
2020-03-25,West Bengal,9,0,0,22.9868,87.855,1
2020-03-26,Andhra Pradesh,11,0,1,15.9129,79.74,0
2020-03-26,Bihar,3,0,0,25.0961,85.3131,1
2020-03-26,Chandigarh,7,0,0,30.7333,76.7794,0
2020-03-26,Chhattisgarh,3,0,0,21.2787,81.8661,0
2020-03-26,Delhi,34,1,6,28.7041,77.1025,1
2020-03-26,Goa,3,0,0,15.2993,74.124,0
2020-03-26,Gujarat,37,1,0,22.2587,71.1924,2
2020-03-26,Haryana,16,14,11,29.0588,76.0856,0
2020-03-26,Himachal Pradesh,3,0,0,31.1048,77.1734,1
2020-03-26,Jammu and Kashmir,11,0,1,33.7782,76.5762,0
2020-03-26,Karnataka,41,0,3,15.3173,75.7139,1
2020-03-26,Kerala,110,8,4,10.8505,76.2711,0
2020-03-26,Ladakh,13,0,0,34.2996,78.2932,0
2020-03-26,Madhya Pradesh,15,0,0,22.9734,78.6569,1
2020-03-26,Maharashtra,121,3,1,19.7515,75.7139,3
2020-03-26,Manipur,1,0,0,24.6637,93.9063,0
2020-03-26,Mizoram,1,0,0,23.1645,92.9376,0
2020-03-26,Odisha,2,0,0,20.9517,85.0985,0
2020-03-26,Puducherry,1,0,0,11.9416,79.8083,0
2020-03-26,Punjab,33,0,0,31.1471,75.3412,1
2020-03-26,Rajasthan,36,2,3,27.0238,74.2179,0
2020-03-26,Tamil Nadu,20,6,1,11.1271,78.6569,1
2020-03-26,Telengana,31,10,1,18.1124,79.0193,0
2020-03-26,Uttar Pradesh,36,1,11,26.8467,80.9462,0
2020-03-26,Uttarakhand,4,1,0,30.0668,79.0193,0
2020-03-26,West Bengal,9,0,0,22.9868,87.855,1
